state,collection_date,ICU Beds Occupied Estimated,Count LL,Count UL,Percentage of ICU Beds Occupied Estimated,Percentage LL,Percentage UL,Total ICU Beds,Total LL,Total UL,Deaths,Negative tests,Positive Tests,Total Tests,
NV,2020-07-01,833,828,838,68.39,57.22,79.56,1218,1136,1300,511,264995,19101,361694,34
NY,2020-07-01,4118,4034,4202,55.98,51.94,60.03,7356,7229,7483,24866,3577569,394079,3971648,35
OH,2020-07-01,3018,2984,3052,68.83,66.47,71.18,4385,4348,4422,2876,791030,52865,843895,36
OK,2020-07-01,1012,1006,1018,68.89,66.93,70.85,1469,1460,1478,389,332201,14112,346313,37
OR,2020-07-01,578,551,605,62.83,52.77,72.88,920,880,960,207,228978,8656,363702,38
PA,2020-07-01,3473,3441,3505,76.01,74.26,77.76,4569,4550,4588,6649,689562,87242,776804,39
RI,2020-07-01,208,190,226,88.14,65.16,111.12,236,216,256,956,139063,16976,257151,40
SC,2020-07-01,1166,1166,1166,73.1,73.1,73.1,1595,1595,1595,766,351953,37919,389872,41
SD,2020-07-01,149,143,155,51.56,40.96,62.16,289,271,307,93,74117,6826,80943,42
TN,2020-07-01,1856,1843,1869,74.42,72.53,76.3,2494,2473,2515,609,772571,45315,817886,43
TX,2020-07-01,6706,6638,6774,65.41,63.23,67.6,10252,10160,10344,2481,2345315,168062,2513377,44
UT,2020-07-01,584,584,584,56.81,56.77,56.85,1028,1028,1028,173,335013,22716,419399,45
VA,2020-07-01,1334,1289,1379,65.91,58.44,73.38,2024,1962,2086,1786,608715,63203,671918,46
VT,2020-07-01,70,70,70,51.85,51.85,51.85,135,135,135,56,63258,1212,78000,47
WA,2020-07-01,947,931,963,53.26,50.23,56.29,1778,1756,1800,1332,660263,35669,695932,48
WI,2020-07-01,1095,1084,1106,58.18,56.4,59.96,1882,1871,1893,793,551607,32225,711741,49
WV,2020-07-01,572,567,577,70.7,68.42,72.99,809,800,818,93,170420,2932,173352,50
WY,2020-07-01,43,42,44,43.43,38.27,48.6,99,96,102,20,32185,1514,51517,51
AK,2020-07-02,143,143,143,53.76,53.76,53.76,266,266,266,14,114889,1020,115909,52
AL,2020-07-02,1573,1549,1597,82.75,79.04,86.45,1901,1875,1927,985,379617,40111,419221,53
AR,2020-07-02,899,872,926,63.47,57.38,69.56,1416,1383,1450,279,301912,22075,323987,54
AZ,2020-07-02,1494,1482,1506,76.28,73.67,78.88,1959,1934,1984,1757,473414,87425,812675,55
CA,2020-07-02,7722,7668,7777,67.07,65.59,68.56,11514,11450,11578,6163,4096171,242547,4338718,56
CO,2020-07-02,915,915,915,49.76,49.63,49.88,1839,1838,1840,1701,306938,33352,410323,57
CT,2020-07-02,825,825,825,56.94,56.94,56.94,1449,1449,1449,4326,453468,46646,500114,58
DC,2020-07-02,444,444,444,78.45,0,0,566,566,566,554,90673,10390,101063,59
DE,2020-07-02,190,190,190,64.63,64.63,64.63,294,294,294,510,103187,11731,149453,60
FL,2020-07-02,6225,6146,6304,74.55,71.45,77.66,8350,8249,8451,3718,1863077,165876,2225989,61
GA,2020-07-02,2318,2263,2373,73.53,67.69,79.38,3152,3075,3229,2849,796309,87709,884018,62
HI,2020-07-02,164,152,175,55.42,39.44,71.41,295,272,318,18,79364,926,93693,63
IA,2020-07-02,658,609,707,54.88,41.84,67.92,1199,1142,1256,718,287329,30209,317538,64
ID,2020-07-02,223,222,224,42.72,41.39,44.05,522,518,526,92,88751,6370,94537,65
IL,2020-07-02,2313,2287,2340,51.21,48.81,53.62,4517,4462,4572,7188,1521435,145935,1667370,66
IN,2020-07-02,1500,1482,1518,56.87,53.66,60.09,2638,2591,2684,2662,450448,46387,639174,67
KS,2020-07-02,706,703,709,55.63,54.54,56.73,1269,1262,1276,272,168183,14990,183173,68
KY,2020-07-02,1648,1648,1648,72.34,72.18,72.51,2278,2276,2280,581,369144,16079,385223,69
LA,2020-07-02,2008,1963,2052,90.31,80.32,100.29,2223,2117,2329,3255,705813,61561,767374,70
MA,2020-07-02,1003,944,1062,52.74,40.57,64.9,1902,1789,2014,8132,756920,109338,1131994,71
MD,2020-07-02,963,963,963,71.19,0,0,1353,1322,1383,3212,484752,68423,670249,72
ME,2020-07-02,243,242,244,60.9,46.74,75.07,399,363,435,105,97489,3328,100817,73
MI,2020-07-02,2110,2067,2154,67.92,63.14,72.69,3108,3044,3171,6212,1013459,71678,1085137,74
MN,2020-07-02,1048,1047,1048,63.45,63.35,63.54,1651,1650,1652,1495,593217,37210,630427,75
MO,2020-07-02,1693,1691,1695,60.62,59.92,61.31,2793,2781,2805,1022,375035,22283,424214,76
MS,2020-07-02,687,671,702,72.35,67.33,77.37,949,931,967,1092,270269,28770,299039,77
MT,2020-07-02,156,156,156,48.45,47.54,49.36,322,320,324,22,94066,1083,95149,78
NC,2020-07-02,1943,1919,1967,62.26,60.02,64.49,3121,3101,3141,1391,902978,68142,971120,79
ND,2020-07-02,133,133,133,37.36,37.36,37.36,356,356,356,89,104538,3654,184430,80
NE,2020-07-02,452,446,458,48.47,46.44,50.49,933,926,940,276,163352,19310,226650,81
NH,2020-07-02,184,179,189,54.6,46.29,62.91,337,320,354,373,114505,5802,156642,82
NJ,2020-07-02,1292,1282,1301,54.84,53.3,56.38,2355,2339,2371,15014,1291557,173404,1464961,83
NM,2020-07-02,207,203,211,59.68,55.29,64.08,347,340,354,503,344117,12520,356637,84
NV,2020-07-02,870,845,894,71.39,59.06,83.72,1218,1136,1300,525,264995,19733,373157,85
NY,2020-07-02,4112,4030,4195,55.86,51.84,59.89,7361,7233,7490,24877,3646639,394954,4041593,86
OH,2020-07-02,3008,2974,3042,68.66,66.34,70.98,4381,4344,4418,2903,811758,54166,865924,87
OK,2020-07-02,999,992,1006,68.1,66.67,69.52,1467,1459,1475,395,338511,14539,353050,88
OR,2020-07-02,586,582,591,63.82,58.57,69.07,919,890,948,208,234429,8931,373326,89
PA,2020-07-02,3452,3384,3520,75.78,71.36,80.21,4555,4484,4626,6712,702199,88074,790273,90
RI,2020-07-02,211,191,231,88.19,62.77,113.62,239,216,263,959,140048,17035,261389,91
SC,2020-07-02,1215,1215,1215,75.65,75.65,75.65,1606,1606,1606,784,361700,39701,401401,92
SD,2020-07-02,148,142,154,51.21,40.62,61.8,289,271,307,97,75048,6893,81941,93
TN,2020-07-02,1830,1827,1833,73.38,72.55,74.21,2494,2483,2505,620,791564,46890,838454,94
TX,2020-07-02,6744,6681,6808,65.58,63.54,67.62,10284,10198,10370,2525,2422503,175977,2598480,95
UT,2020-07-02,621,620,621,60.43,60.06,60.8,1027,1025,1029,176,340724,23270,427339,96
VA,2020-07-02,1312,1266,1358,64.82,57.28,72.36,2024,1961,2087,1816,620823,63735,684558,97
VT,2020-07-02,71,68,73,53.57,46.9,60.25,132,128,136,56,64285,1229,79525,98
WA,2020-07-02,983,967,999,55.41,52.4,58.42,1774,1752,1796,1339,674154,36589,710743,99
WI,2020-07-02,1092,1083,1101,58.9,57.01,60.79,1854,1837,1871,800,563946,32809,727814,100
WV,2020-07-02,508,503,512,67.58,65.17,69.98,751,742,760,93,175288,3053,178341,101
WY,2020-07-02,48,46,49,48.08,40.8,55.36,99,95,103,20,33693,1550,52893,102
AK,2020-07-03,145,145,145,54.72,54.72,54.72,265,265,265,15,119143,1065,120208,103
AL,2020-07-03,1481,1445,1516,81.63,75.85,87.41,1814,1775,1853,1006,388766,41865,430128,104
AR,2020-07-03,880,841,919,60.69,52.17,69.21,1450,1403,1497,281,308615,22622,331237,105
AZ,2020-07-03,1459,1438,1479,74.56,70.2,78.92,1956,1915,1998,1788,486523,91858,839264,106
CA,2020-07-03,7706,7661,7750,66.73,65.51,67.94,11548,11493,11602,6263,4199941,248235,4448176,107
CO,2020-07-03,918,869,966,50.01,40.6,59.43,1835,1760,1910,1701,312135,33619,418257,108
CT,2020-07-03,694,694,694,47.63,47.63,47.63,1457,1457,1457,4335,453369,46717,500086,109
DC,2020-07-03,425,425,425,75.35,75.35,75.35,564,564,564,555,92374,10435,102809,110
DE,2020-07-03,186,186,186,63.27,63.27,63.27,294,294,294,512,106420,11923,152066,111
FL,2020-07-03,6106,6027,6184,70.71,67.76,73.66,8635,8537,8733,3785,1902766,175200,2286612,112
GA,2020-07-03,2315,2260,2371,73.69,67.84,79.55,3142,3065,3219,2856,811937,90493,902430,113
HI,2020-07-03,169,169,169,55.42,54.07,56.77,305,302,308,18,80672,946,95391,114
IA,2020-07-03,610,561,659,50.9,37.55,64.25,1198,1141,1256,720,291032,30429,321461,115
ID,2020-07-03,226,224,227,43.25,41.92,44.58,522,518,526,92,92116,6593,98119,116
IL,2020-07-03,2323,2297,2349,51.7,49.29,54.12,4493,4437,4549,7215,1554885,146872,1701757,117
IN,2020-07-03,1506,1476,1537,58.54,54.37,62.71,2573,2526,2620,2681,457238,46915,651177,118
KS,2020-07-03,681,678,685,53.4,52.29,54.51,1276,1269,1283,277,175642,15919,191561,119
KY,2020-07-03,1608,1604,1611,71.29,70.92,71.65,2255,2253,2257,585,378676,16376,395052,120
LA,2020-07-03,2560,2515,2605,115.16,104.28,126.04,2223,2117,2329,3278,720853,63289,784142,121
MA,2020-07-03,1006,987,1025,51.75,46.83,56.68,1943,1888,1999,8149,768152,109628,1140333,122
MD,2020-07-03,969,948,990,73.28,67.87,78.68,1322,1292,1353,3223,494873,68961,685813,123
ME,2020-07-03,232,232,233,57.92,44.17,71.67,401,365,437,105,100076,3373,103449,124
MI,2020-07-03,2075,2020,2130,67.36,61.55,73.18,3081,3008,3154,6215,1036090,72175,1108265,125
MN,2020-07-03,1062,1061,1063,64.17,63.9,64.43,1655,1652,1658,1503,607548,37624,645172,126
MO,2020-07-03,1682,1680,1684,57.19,56.54,57.84,2941,2929,2953,1026,382129,22830,424214,127
MS,2020-07-03,676,661,691,71.3,66.44,76.16,948,930,966,1092,270269,28770,299039,128
MT,2020-07-03,148,141,156,46.47,36.65,56.29,319,302,336,23,96375,1128,97503,129
NC,2020-07-03,1892,1867,1917,60.78,58.31,63.25,3113,3086,3140,1392,929052,70241,999293,130
ND,2020-07-03,139,139,139,39.04,39.04,39.04,356,356,356,89,106852,3717,189006,131
NE,2020-07-03,451,421,480,48.19,38.58,57.8,935,914,956,282,164682,19452,229237,132
NH,2020-07-03,187,181,193,55.49,46.65,64.33,337,320,354,375,116365,5822,158920,133
NJ,2020-07-03,1240,1228,1251,53.24,51.66,54.83,2328,2315,2341,15072,1312759,173839,1486598,134
NM,2020-07-03,212,209,215,61.43,58.32,64.55,345,340,350,511,350598,12776,363374,135
NV,2020-07-03,860,835,886,70.65,58.25,83.05,1218,1136,1300,528,272967,20718,385234,136
NY,2020-07-03,4090,4007,4173,55.62,51.58,59.67,7353,7223,7483,24885,3712113,395872,4107985,137
OH,2020-07-03,2974,2875,3073,57.95,51.47,64.43,5132,4996,5269,2903,832661,55257,887918,138
OK,2020-07-03,967,961,973,64.04,62.74,65.34,1510,1502,1518,398,348789,15065,363854,139
OR,2020-07-03,580,562,599,63.16,54.56,71.76,919,879,959,209,241760,9294,385411,140
PA,2020-07-03,3390,3357,3424,74.7,72.85,76.54,4539,4520,4558,6746,715403,88741,804144,141
RI,2020-07-03,204,184,224,85.77,59.63,111.92,238,214,262,960,140721,17057,264265,142
SC,2020-07-03,1187,1186,1188,72.72,72.58,72.86,1632,1632,1632,793,367500,41532,409032,143
SD,2020-07-03,155,143,167,53.56,38.89,68.24,289,271,307,97,76015,6978,82993,144
TN,2020-07-03,1873,1844,1902,73.88,69.9,77.85,2535,2492,2578,633,813777,48712,862489,145
TX,2020-07-03,6733,6669,6798,65.55,63.47,67.63,10272,10185,10360,2575,2501118,183532,2684650,146
UT,2020-07-03,603,602,604,59.11,58.71,59.52,1020,1018,1022,181,346518,23866,435246,147
VA,2020-07-03,1291,1245,1337,63.83,56.21,71.45,2023,1959,2087,1845,631648,64393,696041,148
VT,2020-07-03,76,74,79,56.85,50.14,63.56,134,130,138,56,65315,1238,80955,149
WA,2020-07-03,939,923,955,53.16,50.06,56.25,1767,1745,1789,1342,683339,37473,720812,150
WI,2020-07-03,1053,1041,1065,57.24,55.31,59.18,1840,1829,1851,803,573553,33431,744970,151
WV,2020-07-03,507,499,514,62.48,59.09,65.86,811,798,824,93,177576,3126,180702,152
WY,2020-07-03,48,47,50,48.69,41.37,56.01,99,95,103,20,33693,1582,53412,153
AK,2020-07-04,133,133,133,50.19,50.19,50.19,265,265,265,16,121618,1114,122732,154
AL,2020-07-04,1455,1422,1488,80.37,74.98,85.76,1810,1774,1846,1007,399226,42862,441585,155
AR,2020-07-04,889,850,927,61.7,53.12,70.27,1440,1393,1487,286,315684,23209,338893,156
AZ,2020-07-04,1472,1454,1491,75.23,71.08,79.38,1957,1917,1997,1805,494955,94553,856727,157
CA,2020-07-04,7507,7458,7557,65.29,63.9,66.67,11499,11436,11561,6313,4295643,257388,4553031,158
CO,2020-07-04,900,853,947,49.17,39.82,58.52,1830,1755,1906,1701,316851,33866,424954,159
CT,2020-07-04,674,674,674,47.5,47.5,47.5,1419,1419,1419,4335,453309,46717,500026,160
DC,2020-07-04,418,418,418,77.26,77.26,77.26,541,541,541,557,94107,10447,104554,161
DE,2020-07-04,193,193,193,65.65,65.65,65.65,294,294,294,512,108697,11996,160120,162
FL,2020-07-04,6035,5957,6114,70,67.06,72.94,8621,8524,8719,3803,1956445,186530,2364452,163
GA,2020-07-04,2270,2213,2328,72.15,66.02,78.27,3147,3066,3228,2857,834896,93319,928215,164
HI,2020-07-04,163,163,163,53.46,51.39,55.53,305,301,309,19,82501,975,97354,165
IA,2020-07-04,634,585,683,52.96,39.72,66.2,1197,1140,1255,721,297970,31041,329011,166
ID,2020-07-04,227,225,228,43.45,42.12,44.79,522,518,526,93,94073,6994,100474,167
IL,2020-07-04,2209,2182,2236,49.23,46.81,51.66,4487,4431,4542,7224,1587859,147734,1735593,168
IN,2020-07-04,1470,1430,1510,57.27,52.17,62.37,2567,2516,2618,2687,464856,47432,657897,169
KS,2020-07-04,639,591,687,50.05,38.67,61.43,1277,1240,1314,277,175642,15919,191561,170
KY,2020-07-04,1546,1545,1547,67.93,67.73,68.12,2276,2274,2278,585,378676,16376,395052,171
LA,2020-07-04,2134,2088,2180,96,85.78,106.21,2223,2117,2329,3278,720853,63289,784142,172
MA,2020-07-04,972,953,991,50.16,45.25,55.06,1937,1882,1992,8172,775929,109838,1144610,173
MD,2020-07-04,961,961,961,75.37,0,0,1275,1275,1275,3236,504001,69341,698768,174
ME,2020-07-04,242,219,264,60.38,40.3,80.45,400,364,436,107,102548,3397,105945,175
MI,2020-07-04,2036,1981,2091,66.09,60.27,71.91,3081,3008,3154,6218,1057573,72581,1130154,176
MN,2020-07-04,1003,1002,1004,61.27,60.9,61.64,1637,1634,1640,1503,607548,37624,645172,177
MO,2020-07-04,1637,1634,1640,55.68,54.96,56.4,2940,2927,2953,1027,389046,23215,424214,178
MS,2020-07-04,666,651,680,69.55,64.72,74.39,957,939,975,1107,279241,30674,309915,179
MT,2020-07-04,146,139,153,45.43,35.66,55.21,321,304,338,23,97783,1167,98950,180
NC,2020-07-04,1835,1810,1860,58.98,56.49,61.47,3111,3084,3138,1395,946642,71654,1018296,181
ND,2020-07-04,130,130,130,36.52,36.52,36.52,356,356,356,89,108149,3774,193349,182
NE,2020-07-04,434,404,464,46.54,36.56,56.53,933,909,957,284,167928,19660,234689,183
NH,2020-07-04,172,166,179,51.19,42.27,60.1,337,320,354,376,117892,5857,161306,184
NJ,2020-07-04,1216,1203,1229,52.52,50.65,54.4,2315,2298,2332,15097,1335515,174162,1509677,185
NM,2020-07-04,197,189,206,57.32,49.14,65.5,344,333,356,513,359225,13063,372288,186
NV,2020-07-04,849,831,867,69.7,57.92,81.49,1218,1136,1300,530,279654,21575,390307,187
NY,2020-07-04,3999,3916,4082,54.54,50.46,58.63,7332,7200,7464,24896,3773790,396598,4170388,188
OH,2020-07-04,2905,2807,3003,56.47,50.05,62.89,5145,5010,5279,2907,853927,56183,910110,189
OK,2020-07-04,935,928,941,61.86,60.42,63.31,1511,1502,1520,398,348789,15645,364434,190
OR,2020-07-04,583,566,599,63.67,55.62,71.72,915,877,953,209,245096,9636,392939,191
PA,2020-07-04,3314,3282,3346,72.81,71,74.62,4552,4532,4571,6749,725448,89375,814823,192
RI,2020-07-04,202,174,229,85.41,49.95,120.88,236,204,268,960,141673,17084,266322,193
SC,2020-07-04,1196,1195,1197,73.55,73.38,73.73,1626,1625,1627,813,377307,43386,420693,194
SD,2020-07-04,151,139,164,52.39,37.58,67.19,289,271,307,97,76802,7028,83830,195
TN,2020-07-04,1794,1781,1807,70.65,68.81,72.48,2539,2519,2560,637,828464,50140,878604,196
TX,2020-07-04,6612,6539,6686,64.27,62.01,66.53,10288,10198,10378,2608,2553687,191790,2745477,197
UT,2020-07-04,592,591,593,57.84,57.39,58.29,1024,1022,1026,181,351914,24542,442733,198
VA,2020-07-04,1253,1192,1314,62.03,52.08,71.99,2020,1939,2101,1849,642641,65109,707750,199
VT,2020-07-04,63,60,66,47.12,38.75,55.5,134,129,139,56,66321,1240,82269,200
WA,2020-07-04,871,855,887,49.38,46.24,52.52,1764,1742,1786,1352,687085,38361,725446,201
WI,2020-07-04,1012,1003,1022,55,53.4,56.59,1841,1830,1852,803,579637,34207,762789,202
WV,2020-07-04,553,545,561,68.44,65.45,71.43,808,799,817,94,178288,3141,181429,203
WY,2020-07-04,48,45,52,48.96,37.2,60.71,99,94,104,20,33693,1606,53628,204
AK,2020-07-05,126,123,128,47.36,44.22,50.5,265,261,269,16,122612,1141,123753,205
AL,2020-07-05,1456,1423,1489,80.41,75.02,85.79,1811,1775,1847,1007,405933,43953,449383,206
AR,2020-07-05,897,857,936,62.79,53.97,71.61,1428,1379,1477,286,315684,23209,338893,207
AZ,2020-07-05,1472,1451,1493,75.41,70.98,79.84,1952,1911,1993,1809,506273,98089,864800,208
CA,2020-07-05,7435,7398,7471,64.87,63.81,65.94,11461,11411,11510,6331,4414153,265985,4680138,209
CO,2020-07-05,871,824,918,47.69,38.28,57.1,1826,1751,1901,1701,321590,34065,431701,210
CT,2020-07-05,627,623,631,44.37,43.57,45.18,1413,1413,1413,4335,477851,46717,524568,211
DC,2020-07-05,400,400,400,70.67,70.67,70.67,566,566,566,559,95511,10482,105993,212
DE,2020-07-05,192,192,192,65.31,65.31,65.31,294,294,294,512,111813,12128,164616,213
FL,2020-07-05,6021,5942,6099,69.78,66.84,72.72,8628,8530,8725,3832,2000088,196386,2428240,214
GA,2020-07-05,2264,2206,2322,71.89,65.72,78.07,3149,3068,3230,2860,855994,95516,951510,
HI,2020-07-05,150,150,150,52.66,50.65,54.67,285,281,289,19,83326,999,98778,
IA,2020-07-05,621,572,670,51.84,38.55,65.13,1198,1141,1256,721,301119,31353,332472,
ID,2020-07-05,229,228,230,43.85,42.52,45.19,522,518,526,93,96896,7370,103675,
IL,2020-07-05,2202,2178,2227,49.26,46.99,51.52,4471,4419,4523,7230,1614455,148373,1762828,
IN,2020-07-05,1431,1394,1469,55.12,50.28,59.95,2597,2548,2646,2693,473714,48008,660576,
KS,2020-07-05,654,606,702,51.09,39.82,62.35,1280,1243,1317,277,175642,15919,191561,
KY,2020-07-05,1480,1477,1482,66.29,66,66.57,2232,2230,2234,585,378676,16376,395052,
LA,2020-07-05,3221,3175,3267,144.89,132.95,156.84,2223,2117,2329,3288,737228,65226,802454,
MA,2020-07-05,927,908,946,47.78,42.92,52.64,1940,1884,1995,8183,781711,109974,1151255,
MD,2020-07-05,959,959,959,75.22,0,0,1275,1275,1275,3243,510330,69632,707844,
ME,2020-07-05,240,240,241,60.36,46.22,74.51,398,362,434,109,104517,3415,107932,
MI,2020-07-05,2033,1978,2087,66.55,60.68,72.42,3054,2982,3127,6218,1073878,72941,1146819,
MN,2020-07-05,967,966,968,58.57,58.37,58.77,1651,1649,1653,1508,635879,38136,674015,
MO,2020-07-05,1648,1646,1651,56.01,55.36,56.67,2943,2931,2955,1028,396073,23436,424214,
MS,2020-07-05,663,647,680,68.89,63.24,74.55,963,941,985,1111,279241,30900,310141,
MT,2020-07-05,138,131,146,43.53,33.66,53.39,318,301,335,23,98894,1212,100106,
NC,2020-07-05,1813,1788,1838,58.37,55.9,60.84,3106,3079,3133,1396,963855,72983,1036838,
ND,2020-07-05,131,130,131,36.7,36.39,37.02,356,356,356,89,109312,3810,197091,
NE,2020-07-05,430,414,446,46.13,40.05,52.21,932,908,956,284,170101,19827,238228,
NH,2020-07-05,171,165,177,50.74,41.85,59.64,337,320,354,376,117892,5857,164672,
NJ,2020-07-05,1235,1182,1288,53.44,43.06,63.83,2311,2181,2442,15119,1361238,174544,1535782,
NM,2020-07-05,196,189,204,57.12,49.71,64.52,344,333,355,513,361798,13256,375054,
NV,2020-07-05,831,813,849,68.23,56.54,79.91,1218,1136,1300,534,285279,22418,392263,
NY,2020-07-05,3974,3890,4058,54.26,50.14,58.39,7324,7192,7457,24904,3836672,397131,4233803,
OH,2020-07-05,2885,2787,2983,55.85,49.45,62.25,5165,5030,5300,2911,875414,57151,932565,
OK,2020-07-05,939,931,947,62.35,60.62,64.08,1506,1496,1516,398,348789,15928,364717,
OR,2020-07-05,568,549,587,61.72,53.13,70.31,921,881,961,213,245096,9930,401069,
PA,2020-07-05,3327,3295,3359,73.8,72.01,75.59,4508,4489,4527,6753,734846,89854,824700,
RI,2020-07-05,200,180,220,84.75,58.98,110.51,236,213,259,960,143047,17108,268696,
SC,2020-07-05,1168,1167,1168,71.94,71.79,72.1,1623,1622,1624,820,385962,44847,430809,
SD,2020-07-05,151,139,163,52.25,37.56,66.94,289,271,307,97,76940,7063,84003,
TN,2020-07-05,1774,1761,1787,71.2,69.33,73.07,2492,2471,2512,646,844735,51431,896166,
TX,2020-07-05,6557,6485,6629,63.7,61.48,65.92,10294,10206,10382,2637,2571359,195239,2766598,
UT,2020-07-05,567,566,568,55.5,55.05,55.95,1021,1019,1023,184,355004,24952,446901,
VA,2020-07-05,1245,1202,1289,61.7,54.19,69.21,2018,1952,2084,1853,652391,65748,718139,
VT,2020-07-05,60,58,63,44.2,37.45,50.94,136,132,140,56,66926,1251,83102,
WA,2020-07-05,883,867,900,50.14,46.94,53.33,1762,1739,1785,1354,691435,38814,730249,
WI,2020-07-05,1020,1008,1032,55.41,53.5,57.31,1841,1830,1852,803,584111,34740,775047,
WV,2020-07-05,491,484,499,59.99,56.56,63.43,819,806,832,94,181559,3262,184821,
WY,2020-07-05,44,41,47,44.18,32.27,56.08,99,94,104,20,33693,1634,53867,
AK,2020-07-06,119,119,119,44.61,44.56,44.66,266,266,266,16,122585,1168,123753,
AL,2020-07-06,1518,1482,1554,78.33,72.68,83.99,1937,1896,1979,1007,410217,44878,454592,
AR,2020-07-06,906,877,934,63.97,57.71,70.23,1416,1382,1449,292,320715,24253,344529,
AZ,2020-07-06,1502,1488,1515,76.37,73.15,79.6,1966,1939,1993,1810,516400,101441,873294,
CA,2020-07-06,7483,7438,7529,65.06,63.73,66.39,11502,11438,11566,6337,4521669,271684,4793353,
CO,2020-07-06,873,837,908,47.9,41.14,54.67,1822,1772,1871,1691,326383,34257,438272,
CT,2020-07-06,634,634,634,44.9,44.9,44.9,1412,1412,1412,4338,483537,46976,530513,
DC,2020-07-06,408,408,408,72.6,72.6,72.6,562,562,562,561,97135,10515,107650,
DE,2020-07-06,195,195,195,66.33,66.33,66.33,294,294,294,512,114886,12293,168358,
FL,2020-07-06,6140,6060,6220,70.06,67.07,73.05,8764,8663,8865,3880,2027493,202623,2468749,
GA,2020-07-06,2286,2247,2326,72.89,68.75,77.02,3137,3083,3191,2878,867526,97064,964590,
HI,2020-07-06,160,160,160,56.18,53.88,58.48,285,282,287,19,84035,1023,99913,
IA,2020-07-06,627,578,676,52.58,39.27,65.88,1193,1136,1251,723,303805,31657,335462,
ID,2020-07-06,223,222,224,42.72,42.2,43.24,522,521,523,93,98732,7733,105876,
IL,2020-07-06,2264,2241,2288,50.49,48.24,52.75,4484,4431,4538,7236,1634975,148987,1783962,
IN,2020-07-06,1518,1495,1542,56.96,53.46,60.46,2666,2619,2713,2698,478261,48331,663982,
